id,folder,strain_type,strain_magnitude,shear_g1,shear_g2,shear_g3,triaxial_ex,triaxial_ey,triaxial_ez,shear_planes,n_shear_planes,volume_A3,n_atoms,a_lat_x_A,a_lat_y_A,a_lat_z_A,alpha_deg,beta_deg,gamma_deg,bond_nn_A,E_total_cell_eV,E_per_atom_eV,strain_energy_density_eV_A3,E_xx,E_yy,E_zz,E_xy,E_yz,E_zx,F_xx,F_xy,F_xz,F_yx,F_yy,F_yz,F_zx,F_zy,F_zz,J_detF,volumetric_strain,deviatoric_strain_J2,E_principal_1,E_principal_2,E_principal_3,sigma_xx_GPa,sigma_yy_GPa,sigma_zz_GPa,sigma_xy_GPa,sigma_yz_GPa,sigma_zx_GPa,hydrostatic_stress_GPa,von_mises_stress_GPa,sigma_principal_1_GPa,sigma_principal_2_GPa,sigma_principal_3_GPa,Eg_eV,VBM_eV,CBM_eV,E_fermi_eV,is_direct_bandgap,functional
2610,vol_3D_ex_0.08_ey_-0.08_ez_0.06/1-GGA-PBE,triaxial,0.128062484748657,0,0,0,0.08,-0.08,0.06,none,0,11.9499707533981,2,2.50326164964082,2.69892535957601,2.53030832723998,57.0923068781469,64.8460348464556,58.0616582753975,1.57927899743938,-17.69958178,-8.84979089,0.042454466348948,-0.0086224351649512,0.0758470914882258,0.000541711594591599,0.0259982859156593,0.0427328147809115,-0.0744088872758528,0.988069056677669,0.0698634686539766,-0.0698634686539766,-0.00998049552199675,1.06791302085364,0.00998049552199675,-0.0798439641759733,0.0798439641759733,0.998049552199666,1.04706528377395,0.0677663679178662,0.0101870172952437,-0.0924889846016206,0.0641637557011411,0.0960915968183458,66.034324,-56.424298,44.782281,-0.000023,-0.000001,0.000503,18.130769,113.336964553091,-56.4242980000043,44.7822809880949,66.0343240119095,1.699115,9.675319,11.374434,9.8426,False,GGA-PBE+HSE06
2612,vol_3D_ex_0.08_ey_-0.08_ez_0.08/1-GGA-PBE,triaxial,0.13856406460551,0,0,0,0.08,-0.08,0.08,none,0,12.1754418996886,2,2.53030832723998,2.72403,2.53030832723998,57.433355395313,65.1332892093739,57.433355395313,1.59001807783355,-17.62428094,-8.81214047,0.0490523816938193,0.00123898363064368,0.0873022749376542,0.00123898363064379,0.0366565870381711,0.0366565870381712,-0.0796882326916763,0.998049552199666,0.0798439641759733,-0.0798439641759733,-5.0849717623741E-17,1.07789351637564,5.0849717623741E-17,-0.0798439641759733,0.0798439641759733,0.998049552199666,1.06682123252441,0.0897802421989417,0.0115065885462952,-0.0933272730423142,0.08092721632232,0.102180298918936,62.788889,-51.989959,62.788889,0.000048,0.000025,0.000515,24.529273,114.778848003504,-51.9899590000255,62.7883740000023,62.7894040000232,1.496634,9.472981,10.969615,9.5156,False,GGA-PBE+HSE06
2614,vol_3D_ex_0.08_ey_0.02_ez_-0.02/1-GGA-PBE,triaxial,0.0848528137423857,0,0,0,0.08,0.02,-0.02,none,0,12.2489650995659,2,2.52275439956509,2.60097668183752,2.64944324377076,57.4254121947068,60.3218442041096,62.2527436011835,1.58701445180684,-17.95181754,-8.97590877,0.0203533823314354,-0.000255170732325227,0.0290302547818658,0.0505460776086183,-0.0360589252929836,0.041139050127078,-0.00697272036052174,0.998049552199666,-0.0199609910439933,0.0199609910439933,-0.0499024776099834,1.02799103876566,0.0499024776099834,-0.0299414865659901,0.0299414865659901,1.04795202980965,1.07326338972564,0.0793211616581589,0.00369150863661218,-0.0292733151570382,0.0173716894984006,0.0912227873167965,73.487965,18.08815,-10.664613,0.000001,0.000005,0.000018,26.9705006666667,74.0861568250661,-10.6646130000047,18.0881500000008,73.4879650000039,3.61232,8.664373,12.276693,8.784,False,GGA-PBE+HSE06
2616,vol_3D_ex_0.08_ey_0.02_ez_-0.04/1-GGA-PBE,triaxial,0.0916515138991168,0,0,0,0.08,0.02,-0.04,none,0,11.9989862199829,2,2.49817371419853,2.57714218568747,2.64944324377076,57.0862174845823,60.0000495079848,62.9137330074329,1.57726358186913,-17.92064818,-8.96032409,0.0230844647288405,-0.00961853807359731,0.0190692256954063,0.0513429599355351,-0.0457211235068493,0.0457211235068494,-0.00268947785334412,0.988069056677669,-0.02994148656599,0.02994148656599,-0.0598829731319801,1.01801054324366,0.0598829731319801,-0.0299414865659901,0.0299414865659901,1.04795202980965,1.05136005524144,0.060793647557344,0.00511822321914512,-0.0502933606565942,0.0183358538431925,0.0927511543707458,73.470711,14.711248,-28.700879,0.000008,0.000009,0.000013,19.8270266666667,88.8153169949938,-28.7008790000035,14.7112480000008,73.4707110000028,3.134589,9.135997,12.270586,9.3043,False,GGA-PBE+HSE06
2618,vol_3D_ex_0.08_ey_0.02_ez_-0.06/1-GGA-PBE,triaxial,0.101980390271856,0,0,0,0.08,0.02,-0.06,none,0,11.7490073404,2,2.47386312275457,2.55358349952816,2.64944324377076,56.7434073364784,59.6744405150456,63.582152148476,1.56765497404364,-17.86064078,-8.93032039,0.0283423575394097,-0.0187826848331401,0.00930741719067596,0.0523390628441811,-0.0551841011389859,0.0501039763048916,0.00139454407210428,0.978088561155672,-0.0399219820879867,0.0399219820879867,-0.0698634686539767,1.00803004772166,0.0698634686539767,-0.0299414865659901,0.0299414865659901,1.04795202980965,1.02945672075725,0.042863795201717,0.00684081810525362,-0.0708220755433794,0.0193191682215945,0.0943667025235019,72.86174,10.55855,-47.64057,0.00001,0.000006,0.000009,11.9265733333333,104.378234724218,-47.6405700000013,10.558549999999,72.8617400000023,2.641997,9.620706,12.262703,9.6856,False,GGA-PBE+HSE06
2620,vol_3D_ex_0.08_ey_0.02_ez_-0.08/1-GGA-PBE,triaxial,0.114891252930761,0,0,0,0.08,0.02,-0.08,none,0,11.499028460817,2,2.44983066597724,2.53030832723998,2.64944324377076,56.3970907553821,59.3451057030967,64.2578035415211,1.5581912601164,-17.77031647,-8.885158235,0.0362566404473282,-0.0277476110109535,-0.000255170732325116,0.0535343863345562,-0.0644478581893932,0.0542876085212046,0.00527934541582348,0.968108065633676,-0.0499024776099833,0.0499024776099833,-0.0798439641759733,0.998049552199666,0.0798439641759733,-0.0299414865659901,0.0299414865659901,1.04795202980965,1.00755338627305,0.0255316045912776,0.00883786132123806,-0.0908371808992665,0.020297919555757,0.0960708659347872,71.58005,5.542805,-67.517841,0.000013,0.000005,0.000015,3.20167133333333,120.513482651896,-67.517841000002,5.54280499999779,71.5800500000042,2.133338,10.119638,12.252976,10.2325,False,GGA-PBE+HSE06
2622,vol_3D_ex_0.08_ey_0.02_ez_0.02/1-GGA-PBE,triaxial,0.0848528137423857,0,0,0,0.08,0.02,0.02,none,0,12.7489228587319,2,2.572695,2.64944324377076,2.64944324377076,58.0925901953764,60.9537049023118,60.9537049023118,1.60693258130786,-17.93297936,-8.96648968,0.0220039976086547,0.0190692256954064,0.0495499746999725,0.0495499746999724,-0.0161368671200645,0.0313772416223476,-0.0161368671200645,1.01801054324366,-3.61381264878086E-17,3.61381264878086E-17,-0.0299414865659901,1.04795202980965,0.0299414865659901,-0.0299414865659901,0.0299414865659901,1.04795202980965,1.11707005869403,0.118169175095351,0.00181502027268821,0.0115612633769034,0.0181727330776248,0.088435178640823,71.999785,22.812512,22.812511,-0.000011,0.000004,-0.000002,39.2082693333333,49.1872735000043,22.8125074688704,22.812515531127,71.9997850000026,4.526278,7.757041,12.283319,7.8122,False,GGA-PBE+HSE06
2624,vol_3D_ex_0.08_ey_0.02_ez_0.04/1-GGA-PBE,triaxial,0.0916515138991168,0,0,0,0.08,0.02,0.04,none,0,12.9989017383149,2,2.59803993643525,2.67406085387936,2.64944324377076,58.4204234415738,61.2636589819499,60.3159175764763,1.61709471211201,-17.88563667,-8.942818335,0.026152199153531,0.0290302547818658,0.0601086655316198,0.0493507541182432,-0.00587700716101116,0.0261975064973887,-0.0210177713724297,1.02799103876566,0.00998049552199666,-0.00998049552199666,-0.0199609910439934,1.05793252533165,0.0199609910439934,-0.0299414865659901,0.0299414865659901,1.04795202980965,1.13897339317823,0.138489674431729,0.00141168243431305,0.0134644311857275,0.0378190170679196,0.0872062261780816,70.611279,24.294848,38.290313,-0.000003,0.000005,-0.000004,44.3988133333333,41.1444386540723,24.294847999998,38.2903130000013,70.6112790000007,4.261923,7.572632,11.834555,7.7303,False,GGA-PBE+HSE06
2626,vol_3D_ex_0.08_ey_0.02_ez_0.06/1-GGA-PBE,triaxial,0.101980390271856,0,0,0,0.08,0.02,0.06,none,0,13.2488806178978,2,2.62362500323979,2.69892535957601,2.64944324377076,58.744339299126,61.5695729933762,59.6860877074978,1.62738885012733,-17.81478366,-8.90739183,0.0323603923411411,0.0391905044500546,0.0708665769449961,0.0493507541182432,0.00458207337977132,0.0208185507907005,-0.026097896206524,1.03797153428765,0.0199609910439933,-0.0199609910439933,-0.00998049552199675,1.06791302085364,0.00998049552199675,-0.0299414865659901,0.0299414865659901,1.04795202980965,1.16087672766243,0.159407835513294,0.00139709678554524,0.0125939549031471,0.0605867587782665,0.0862271218318802,68.868848,25.278242,52.954,0.00019,0.000173,-0.000262,49.0336966666667,38.2058300524471,25.2782419980904,52.9539999967683,68.8688480051413,4.009866,7.398978,11.408844,7.5275,False,GGA-PBE+HSE06
2628,vol_3D_ex_0.08_ey_0.02_ez_0.08/1-GGA-PBE,triaxial,0.114891252930761,0,0,0,0.08,0.02,0.08,none,0,13.4988594974808,2,2.64944324377076,2.72403,2.64944324377076,59.0642911439478,61.8714177121043,59.0642911439478,1.63781250624213,-17.7216091,-8.86080455,0.0405244162640567,0.0495499746999725,0.0818237089401015,0.0495499746999724,0.0152403745022831,0.0152403745022832,-0.0313772416223476,1.04795202980965,0.02994148656599,-0.02994148656599,-5.0849717623741E-17,1.07789351637564,5.0849717623741E-17,-0.0299414865659901,0.0299414865659901,1.04795202980965,1.18278006214662,0.180923658340046,0.00179626729570103,0.0115612633769033,0.08092721632232,0.0884351786408231,66.81549,25.812719,66.81549,0.000063,0.000081,-0.000066,53.1478996666667,41.0027710005446,25.8127189997432,66.8154240002529,66.815556000004,3.768864,7.235477,11.004341,7.3333,False,GGA-PBE+HSE06
